"...1","Name","startdato","slutdato","party","partyShortname","sex","born","bloc"
57,"Peter Hummelgaard",NA,NA,NA,"S","m","30333","left"
58,"Pelle Dragsted",NA,NA,NA,"EL","m","27497","left"
59,"Carolina Magdalene Maier","2016-10-04T00:00:00Z",NA,"Alternativet","ALT","f","26996","left"
60,"Carsten Bach",NA,NA,"Liberal Alliance","LA","m","27737","right"
61,"Tilde Bork","2016-10-04T00:00:00Z",NA,NA,"DF","f","34184","right"
62,"Claus Kvist Hansen","2016-10-04T00:00:00Z",NA,NA,"DF","m","25105","right"
63,"Britt Bager","2018-10-01T00:00:00Z","2021-09-30T00:00:00Z",NA,"KF","f","27988","right"
64,"Josephine Fock","2016-10-04T00:00:00Z",NA,NA,"ALT","f","23990","left"
65,"Søren Pape Poulsen","2024-02-20T00:00:00Z","2024-03-12T00:00:00Z",NA,"KF","m","26298","right"
66,"Jakob Sølvhøj",NA,NA,NA,"EL","m","19979","left"
67,"René Gade","2016-10-04T00:00:00Z",NA,NA,"ALT","m","29982","left"
68,"Karina Adsbøl",NA,NA,NA,"DD","f","28092","right"
69,"Ellen Trane Nørby","2019-10-01T00:00:00Z",NA,NA,"V","f","29252","right"
70,"Hans Andersen",NA,NA,NA,"V","m","27334","right"
71,"Dan Jørgensen",NA,NA,NA,"S","m","27557","left"
72,"Anni Matthiesen",NA,NA,NA,"V","f","23415","right"
73,"Per Clausen","2011-10-07T00:00:00Z",NA,NA,"EL","m","20140","left"
74,"Pernille Rosenkrantz-Theil",NA,NA,NA,"S","f","28142","left"
75,"Jacob Jensen",NA,NA,NA,"V","m","26810","right"
76,"Søren Søndergaard",NA,NA,NA,"EL","m","20317","left"
77,"Michael Aastrup Jensen",NA,NA,"Venstre","V","m","27835","right"
78,"Hans Christian Thoning","2017-03-01T00:00:00Z","2017-05-10T00:00:00Z",NA,"V","m","19044","right"
79,"Peter Juel-Jensen",NA,NA,NA,"V","m","24245","right"
80,"Annette Lind","2023-10-04T00:00:00Z","2023-12-11T00:00:00Z",NA,"S","f","25356","left"
81,"Inger Støjberg",NA,NA,NA,"DD","f","26739","right"
82,"Bent Bøgsted","2022-03-01T00:00:00Z","2022-11-01T00:00:00Z",NA,"DD","m","20458","right"
83,"Lennart Damsbo-Andersen","2022-10-01T00:00:00Z",NA,NA,"S","m","20733","left"
84,"Nadeem Farooq",NA,NA,NA,"RV","m","27977","left"
85,"Julie Skovsby","2019-10-01T00:00:00Z",NA,NA,"S","f","28809","left"
86,"Mai Mercado",NA,NA,NA,"KF","f","29453","right"
87,"Thyra Frank","2014-10-08T00:00:00Z",NA,NA,"LA","f","19124","right"
88,"Zenia Stampe",NA,NA,NA,"RV","f","28944","left"
89,"Fatma Øktem","2019-10-01T00:00:00Z",NA,NA,"V","f","27016","right"
90,"Karsten Nonbo",NA,NA,NA,"V","m","19187","right"
91,"Kristian Pihl Lorentzen","2024-03-21T00:00:00Z","2024-03-21T00:00:00Z",NA,"V","m","22420","right"
